product_name,price_elasticity,pricing_recommendation,total_revenue
DOORMAT FANCY FONT HOME SWEET HOME,-1.077,Reduce Price (Highly Elastic),30453.780000000002
JUMBO BAG SPACEBOY DESIGN,-1.805,Reduce Price (Highly Elastic),30096.57
BOX OF VINTAGE ALPHABET BLOCKS,-4.05,Reduce Price (Highly Elastic),29731.56
JUMBO BAG WOODLAND ANIMALS,-4.611,Reduce Price (Highly Elastic),29504.5
HAND WARMER OWL DESIGN,41.603,Increase Price (Inelastic),29433.430000000004
DOORMAT FAIRY CAKE,-3.429,Reduce Price (Highly Elastic),29323.2
WOOD 2 DRAWER CABINET WHITE FINISH,-0.506,Optimize / Monitor Price,29150.02
EDWARDIAN PARASOL RED,-19.085,Reduce Price (Highly Elastic),29140.670000000002
ASSORTED COLOURS SILK FAN,1.591,Increase Price (Inelastic),28829.32
PINK HAPPY BIRTHDAY BUNTING,-142.494,Reduce Price (Highly Elastic),28793.95
SET/5 RED SPOTTY LID GLASS BOWLS,7.914,Increase Price (Inelastic),28548.7
RECYCLING BAG RETROSPOT ,1.337,Increase Price (Inelastic),28377.079999999998
LUNCH BOX I LOVE LONDON,-26.555,Reduce Price (Highly Elastic),28119.82
SET 7 BABUSHKA NESTING BOXES,-1.391,Reduce Price (Highly Elastic),28023.09
RETROSPOT TEA SET CERAMIC 11 PC ,11.499,Increase Price (Inelastic),27806.93
RECIPE BOX PANTRY YELLOW DESIGN,2.02,Increase Price (Inelastic),27804.370000000003
JUMBO BAG SCANDINAVIAN PAISLEY,-118.888,Reduce Price (Highly Elastic),27707.95
6 RIBBONS RUSTIC CHARM,2.536,Increase Price (Inelastic),27457.34
LUNCH BAG RED SPOTTY,13.347,Increase Price (Inelastic),27331.3
MINI PAINT SET VINTAGE ,-7.487,Reduce Price (Highly Elastic),27120.489999999998
GUMBALL COAT RACK,-33.096,Reduce Price (Highly Elastic),27051.530000000002
PACK OF 60 PINK PAISLEY CAKE CASES,-14.841,Reduce Price (Highly Elastic),26733.45
SET OF 3 REGENCY CAKE TINS,-25.545,Reduce Price (Highly Elastic),26625.68
GRAND CHOCOLATECANDLE,-33.946,Reduce Price (Highly Elastic),26508.95
JUMBO BAG APPLES,-6.821,Reduce Price (Highly Elastic),26451.26
60 TEATIME FAIRY CAKE CASES,-23.138,Reduce Price (Highly Elastic),26121.57
ALARM CLOCK BAKELIKE GREEN,23.243,Increase Price (Inelastic),25900.21
HAND WARMER SCOTTY DOG DESIGN,-739.13,Reduce Price (Highly Elastic),25251.360000000004
HAND WARMER BIRD DESIGN,5.293,Increase Price (Inelastic),25071.130000000005
IVORY KITCHEN SCALES,16.817,Increase Price (Inelastic),24946.68
WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.546,Increase Price (Inelastic),24905.87
FELTCRAFT 6 FLOWER FRIENDS,26.599,Increase Price (Inelastic),24656.190000000002
JUMBO BAG PINK WITH WHITE SPOTS,-8.217,Reduce Price (Highly Elastic),24472.05
TEA TIME PARTY BUNTING,-14.632,Reduce Price (Highly Elastic),24414.3
JUMBO BAG RED WHITE SPOTTY ,-192.063,Reduce Price (Highly Elastic),24345.3
RETROSPOT HEART HOT WATER BOTTLE,6.551,Increase Price (Inelastic),24336.98
DOOR MAT UNION FLAG,11.065,Increase Price (Inelastic),24253.68
GREEN REGENCY TEACUP AND SAUCER,-2.275,Reduce Price (Highly Elastic),24191.590000000004
JUMBO BAG ALPHABET,18.22,Increase Price (Inelastic),24175.0
PINK CREAM FELT CRAFT TRINKET BOX ,-5.308,Reduce Price (Highly Elastic),24108.77
MEMO BOARD RETROSPOT  DESIGN,-15.244,Reduce Price (Highly Elastic),23985.32
PINK BLUE FELT CRAFT TRINKET BOX,3.666,Increase Price (Inelastic),23975.69
BLUE HAPPY BIRTHDAY BUNTING,-3.554,Reduce Price (Highly Elastic),23905.670000000002
COLOUR GLASS T-LIGHT HOLDER HANGING,-14.458,Reduce Price (Highly Elastic),23848.11
TEA TIME CAKE STAND IN GIFT BOX,-250.484,Reduce Price (Highly Elastic),23827.8
ZINC METAL HEART DECORATION,-21.216,Reduce Price (Highly Elastic),23815.18
3 HEARTS HANGING DECORATION RUSTIC,-0.834,Optimize / Monitor Price,23768.81
PLASTERS IN TIN SPACEBOY,-10.708,Reduce Price (Highly Elastic),23736.15
FAIRY CAKE FLANNEL ASSORTED COLOUR,-1.675,Reduce Price (Highly Elastic),23534.52
POPCORN HOLDER,22.516,Increase Price (Inelastic),23427.71
JAM MAKING SET PRINTED,10.039,Increase Price (Inelastic),23416.449999999997
HOT BATHS METAL SIGN,-13.561,Reduce Price (Highly Elastic),23390.22
HANGING JAM JAR T-LIGHT HOLDER,14.045,Increase Price (Inelastic),23239.43
JUMBO STORAGE BAG SKULLS,-5.047,Reduce Price (Highly Elastic),23232.89
PAPER CHAIN KIT EMPIRE,-107.724,Reduce Price (Highly Elastic),23182.7
REGENCY TEAPOT ROSES ,-16.285,Reduce Price (Highly Elastic),23073.32
FAWN BLUE HOT WATER BOTTLE,2.79,Increase Price (Inelastic),22658.2
LUNCH BAG SUKI  DESIGN ,-148.684,Reduce Price (Highly Elastic),22600.4
ANTIQUE SILVER TEA GLASS ETCHED,-43.187,Reduce Price (Highly Elastic),22588.36
NO SINGING METAL SIGN,-54.67,Reduce Price (Highly Elastic),22510.56
SET/5 RED RETROSPOT LID GLASS BOWLS,-12.075,Reduce Price (Highly Elastic),22435.18
HANGING HEART JAR T-LIGHT HOLDER,-7.123,Reduce Price (Highly Elastic),22321.06
HOT WATER BOTTLE I AM SO POORLY,16.243,Increase Price (Inelastic),22266.63
PACK OF 72 RETROSPOT CAKE CASES,-15.857,Reduce Price (Highly Elastic),22214.26
SWEETHEART CERAMIC TRINKET BOX,-7.007,Reduce Price (Highly Elastic),22152.0
SET OF TEA COFFEE SUGAR TINS PANTRY,20.034,Increase Price (Inelastic),22133.829999999998
KNITTED UNION FLAG HOT WATER BOTTLE,6.544,Increase Price (Inelastic),22057.21
GREY HEART HOT WATER BOTTLE,2.864,Increase Price (Inelastic),22032.62
CREAM CUPID HEARTS COAT HANGER,-5.29,Reduce Price (Highly Elastic),21989.9
ALARM CLOCK BAKELIKE PINK,22.085,Increase Price (Inelastic),21917.48
3 HOOK PHOTO SHELF ANTIQUE WHITE,-45.859,Reduce Price (Highly Elastic),21914.02
PACK OF 72 RETRO SPOT CAKE CASES,36.99,Increase Price (Inelastic),21853.079999999998
ASSORTED COLOUR MINI CASES,-10.0,Reduce Price (Highly Elastic),21830.84
SET OF 6 RIBBONS VINTAGE CHRISTMAS,-9.739,Reduce Price (Highly Elastic),21514.48
PAPER BUNTING WHITE LACE,-36.042,Reduce Price (Highly Elastic),21495.65
PLASTERS IN TIN CIRCUS PARADE ,-12.066,Reduce Price (Highly Elastic),21288.41
PAPER BUNTING RETROSPOT,-43.964,Reduce Price (Highly Elastic),21218.140000000003
WOODEN ROUNDERS GARDEN SET ,-11.281,Reduce Price (Highly Elastic),21177.27
HOMEMADE JAM SCENTED CANDLES,7.85,Increase Price (Inelastic),21020.8
WOODEN CROQUET GARDEN SET,-8.229,Reduce Price (Highly Elastic),21003.309999999998
JUMBO BAG VINTAGE LEAF,-16.609,Reduce Price (Highly Elastic),20963.93
SMALL GLASS HEART TRINKET POT,-13.223,Reduce Price (Highly Elastic),20903.86
PLASTERS IN TIN WOODLAND ANIMALS,-30.235,Reduce Price (Highly Elastic),20879.23
PACK OF 6 BIRDY GIFT TAGS,1.394,Increase Price (Inelastic),20854.88
PAPER BUNTING RETRO SPOTS,20.542,Increase Price (Inelastic),20735.050000000003
DOORMAT ENGLISH ROSE ,-2.921,Reduce Price (Highly Elastic),20628.04
SET OF 6 SPICE TINS PANTRY DESIGN,-3.219,Reduce Price (Highly Elastic),20553.7
JUMBO BAG TOYS ,-11.655,Reduce Price (Highly Elastic),20532.63
CERAMIC CAKE STAND + HANGING CAKES,-31.066,Reduce Price (Highly Elastic),20531.28
VINTAGE SNAP CARDS,10.312,Increase Price (Inelastic),20458.79
PINK REGENCY TEACUP AND SAUCER,-8.391,Reduce Price (Highly Elastic),20444.690000000002
BAKING SET SPACEBOY DESIGN,2.468,Increase Price (Inelastic),20335.11
CHRISTMAS LIGHTS 10 REINDEER,-247.648,Reduce Price (Highly Elastic),20279.399999999998
HEART FILIGREE DOVE  SMALL,-100.795,Reduce Price (Highly Elastic),20234.1
VINTAGE HEADS AND TAILS CARD GAME ,-1.12,Reduce Price (Highly Elastic),20204.53
HANGING HEART ZINC T-LIGHT HOLDER,-6.461,Reduce Price (Highly Elastic),20113.02
RETRO SPOT TEA SET CERAMIC 11 PC ,-110.324,Reduce Price (Highly Elastic),19965.82
RED KITCHEN SCALES,28.748,Increase Price (Inelastic),19926.53
FELTCRAFT CUSHION RABBIT,20.026,Increase Price (Inelastic),19892.66
FELTCRAFT CUSHION OWL,12.303,Increase Price (Inelastic),19848.46
PAPER CHAIN KIT RETRO SPOT,11.808,Increase Price (Inelastic),19813.4
DOORMAT SPOTTY HOME SWEET HOME,0.623,Increase Price (Inelastic),19750.97
FELTCRAFT CUSHION BUTTERFLY,-29.088,Reduce Price (Highly Elastic),19586.68
FELTCRAFT DOLL MOLLY,-20.101,Reduce Price (Highly Elastic),19480.43
DOORMAT WELCOME PUPPIES,-12.643,Reduce Price (Highly Elastic),19301.36
LADIES & GENTLEMEN METAL SIGN,-79.334,Reduce Price (Highly Elastic),19220.28
15CM CHRISTMAS GLASS BALL 20 LIGHTS,-14.529,Reduce Price (Highly Elastic),19091.7
METAL SIGN TAKE IT OR LEAVE IT ,-14.716,Reduce Price (Highly Elastic),19045.920000000002
CLOTHES PEGS RETROSPOT PACK 24 ,-2.207,Reduce Price (Highly Elastic),19029.010000000002
PICNIC BASKET WICKER LARGE,-25.615,Reduce Price (Highly Elastic),18943.5
GROW A FLYTRAP OR SUNFLOWER IN TIN,-24.86,Reduce Price (Highly Elastic),18828.98
HAND WARMER UNION JACK,-112.329,Reduce Price (Highly Elastic),18807.960000000003
VINTAGE UNION JACK CUSHION COVER,68.476,Increase Price (Inelastic),18723.170000000002
LUNCH BAG PINK POLKADOT,-18.029,Reduce Price (Highly Elastic),18565.05
PACK OF 72 SKULL CAKE CASES,-46.345,Reduce Price (Highly Elastic),18517.13
SILVER HANGING T-LIGHT HOLDER,-68.389,Reduce Price (Highly Elastic),18517.05
CHOCOLATE THIS WAY METAL SIGN,-3.494,Reduce Price (Highly Elastic),18394.640000000003
WOODEN UNION JACK BUNTING,-12.902,Reduce Price (Highly Elastic),18322.68
WHITE SKULL HOT WATER BOTTLE ,11.804,Increase Price (Inelastic),18319.2
LUNCH BAG APPLE DESIGN,-126.122,Reduce Price (Highly Elastic),18278.25
PLASTERS IN TIN STRONGMAN,-18.656,Reduce Price (Highly Elastic),18240.29
CLASSIC METAL BIRDCAGE PLANT HOLDER,-15.219,Reduce Price (Highly Elastic),18185.06
WOODEN SCHOOL COLOURING SET,-10.176,Reduce Price (Highly Elastic),18082.32
POTTERING IN THE SHED METAL SIGN,-2.964,Reduce Price (Highly Elastic),17977.82
NATURAL SLATE CHALKBOARD LARGE ,-53.286,Reduce Price (Highly Elastic),17795.56
FELTCRAFT BUTTERFLY HEARTS,-3.396,Reduce Price (Highly Elastic),17689.3
JUMBO BAG 50'S CHRISTMAS ,-27.344,Reduce Price (Highly Elastic),17679.72
ENAMEL FLOWER JUG CREAM,17.729,Increase Price (Inelastic),17667.58
MULTI COLOUR SILVER T-LIGHT HOLDER,-3.5,Reduce Price (Highly Elastic),17616.12
ANTIQUE SILVER TEA GLASS ENGRAVED,2.78,Increase Price (Inelastic),17543.0
LARGE CAKE STAND  HANGING STRAWBERY,-1.406,Reduce Price (Highly Elastic),17533.95
RED RETROSPOT PICNIC BAG,-12.41,Reduce Price (Highly Elastic),17519.01
TRADITIONAL MODELLING CLAY,5.09,Increase Price (Inelastic),17279.14
PAINTED METAL PEARS ASSORTED,-17.272,Reduce Price (Highly Elastic),17169.46
FAMILY ALBUM WHITE PICTURE FRAME,-17.141,Reduce Price (Highly Elastic),17040.74
MEMO BOARD COTTAGE DESIGN,-19.731,Reduce Price (Highly Elastic),16812.74
BREAD BIN DINER STYLE IVORY,-27.916,Reduce Price (Highly Elastic),16779.34
HAND WARMER RED RETROSPOT,-234.785,Reduce Price (Highly Elastic),16768.02
JUMBO BAG DOILEY PATTERNS,-2.359,Reduce Price (Highly Elastic),16741.26
RED RETROSPOT TRADITIONAL TEAPOT ,-217.574,Reduce Price (Highly Elastic),16520.64
RED SPOTTY BISCUIT TIN,-1.198,Reduce Price (Highly Elastic),16513.95
72 SWEETHEART FAIRY CAKE CASES,-9.999,Reduce Price (Highly Elastic),16475.22
HEART IVORY TRELLIS SMALL,-5.116,Reduce Price (Highly Elastic),16140.34
PAPER CHAIN KIT RETROSPOT,-4.127,Reduce Price (Highly Elastic),16111.460000000001
HOME SWEET HOME METAL SIGN ,-63.433,Reduce Price (Highly Elastic),16103.840000000002
WHITE METAL LANTERN,-15.469,Reduce Price (Highly Elastic),16058.44
PLASTERS IN TIN VINTAGE PAISLEY ,-4.681,Reduce Price (Highly Elastic),16010.59
VICTORIAN SEWING BOX LARGE,-6.55,Reduce Price (Highly Elastic),15975.63
ENAMEL BREAD BIN CREAM,-18.139,Reduce Price (Highly Elastic),15964.25
DOORMAT BLACK FLOCK ,-20.119,Reduce Price (Highly Elastic),15797.76
"RECORD FRAME 7"" SINGLE SIZE ",-4.934,Reduce Price (Highly Elastic),15789.12
HOT WATER BOTTLE BABUSHKA ,-735.509,Reduce Price (Highly Elastic),15758.900000000001
HEART IVORY TRELLIS LARGE,-15.589,Reduce Price (Highly Elastic),15630.58
HOME SWEET HOME MUG,-1.7,Reduce Price (Highly Elastic),15564.11
VINTAGE CREAM 3 BASKET CAKE STAND,-11.497,Reduce Price (Highly Elastic),15537.289999999999
LUNCH BAG DOLLY GIRL DESIGN,-15.678,Reduce Price (Highly Elastic),15489.99
STRAWBERRY LUNCH BOX WITH CUTLERY,-13.75,Reduce Price (Highly Elastic),15454.19
SINGLE HEART ZINC T-LIGHT HOLDER,-2.476,Reduce Price (Highly Elastic),15443.210000000001
DOORMAT HOME SWEET HOME BLUE ,-5.103,Reduce Price (Highly Elastic),15424.51
PICNIC BASKET WICKER SMALL,-1.598,Reduce Price (Highly Elastic),15398.1
CHILDS BREAKFAST SET SPACEBOY ,-4.814,Reduce Price (Highly Elastic),15387.9
LUNCH BAG SUKI DESIGN ,-11.756,Reduce Price (Highly Elastic),15384.050000000001
RETRO SPOT CAKE STAND,2.518,Increase Price (Inelastic),15333.2
TRAVEL SEWING KIT,3.397,Increase Price (Inelastic),15239.31
WOODLAND CHARLOTTE BAG,-7.311,Reduce Price (Highly Elastic),15235.59
SET/3 RED GINGHAM ROSE STORAGE BOX,-22.066,Reduce Price (Highly Elastic),15218.46
SET OF 20 KIDS COOKIE CUTTERS,-1.002,Reduce Price (Highly Elastic),15209.07
ANTIQUE SILVER T-LIGHT GLASS,1.709,Increase Price (Inelastic),15206.42
RED RETROSPOT MINI CASES,-41.085,Reduce Price (Highly Elastic),15162.05
CHILDS BREAKFAST SET DOLLY GIRL ,-17.932,Reduce Price (Highly Elastic),15106.35
DOOR MAT RED SPOT,-89.364,Reduce Price (Highly Elastic),15100.97
PINK 3 PIECE MINI DOTS CUTLERY SET,-230.179,Reduce Price (Highly Elastic),15085.89
BLUE HARMONICA IN BOX ,15.421,Increase Price (Inelastic),15078.72
PACK OF 60 DINOSAUR CAKE CASES,-12.058,Reduce Price (Highly Elastic),14941.21
PICTURE FRAME WOOD TRIPLE PORTRAIT,-7.725,Reduce Price (Highly Elastic),14894.9
WOODEN BOX OF DOMINOES,12.134,Increase Price (Inelastic),14877.12
AREA PATROLLED METAL SIGN,10.996,Increase Price (Inelastic),14876.000000000002
BROCADE RING PURSE ,-1.282,Reduce Price (Highly Elastic),14827.71
RED/WHITE DOTS RUFFLED UMBRELLA,-91.684,Reduce Price (Highly Elastic),14802.1
RED DINER WALL CLOCK,-3.024,Reduce Price (Highly Elastic),14765.09
SET OF 3 COLOURED  FLYING DUCKS,-49.866,Reduce Price (Highly Elastic),14751.8
TRADITIONAL WOODEN SKIPPING ROPE,11.012,Increase Price (Inelastic),14745.53
CHICK GREY HOT WATER BOTTLE,5.638,Increase Price (Inelastic),14692.92
RED RETROSPOT UMBRELLA,0.476,Increase Price (Inelastic),14653.320000000002
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,-0.887,Optimize / Monitor Price,14632.970000000001
RED 3 PIECE MINI DOTS CUTLERY SET,-177.62,Reduce Price (Highly Elastic),14624.91
SET OF 6 SOLDIER SKITTLES,5.603,Increase Price (Inelastic),14443.3
WHITE WOOD GARDEN PLANT LADDER,3.326,Increase Price (Inelastic),14350.66
SET OF 3 NOTEBOOKS IN PARCEL,10.444,Increase Price (Inelastic),14333.1
BEWARE OF THE CAT METAL SIGN ,-0.378,Optimize / Monitor Price,14195.14
SET OF 4 PANTRY JELLY MOULDS,0.622,Increase Price (Inelastic),14180.17
PINK HEART SHAPE EGG FRYING PAN,-1.268,Reduce Price (Highly Elastic),14163.98
FELTCRAFT CHRISTMAS FAIRY,14.145,Increase Price (Inelastic),14142.18
SET OF 3 HEART COOKIE CUTTERS,1.226,Increase Price (Inelastic),14022.84
OPEN CLOSED METAL SIGN,25.233,Increase Price (Inelastic),13951.560000000001
LUNCH BAG PINK RETROSPOT,-338.083,Reduce Price (Highly Elastic),13923.4
WOODEN SKITTLES GARDEN SET,-28.019,Reduce Price (Highly Elastic),13850.34
WOODEN HAPPY BIRTHDAY GARLAND,-10.173,Reduce Price (Highly Elastic),13843.900000000001
DOORMAT 3 SMILEY CATS,-15.114,Reduce Price (Highly Elastic),13838.970000000001
BLUE 3 PIECE MINI DOTS CUTLERY SET,-196.47,Reduce Price (Highly Elastic),13823.91
CHILDRENS CUTLERY POLKADOT PINK,-0.289,Increase Price (Inelastic),13796.6
HEART FILIGREE DOVE LARGE,-12.552,Reduce Price (Highly Elastic),13717.02
IVORY DINER WALL CLOCK,-65.63,Reduce Price (Highly Elastic),13577.9
YOU'RE CONFUSING ME METAL SIGN ,-19.829,Reduce Price (Highly Elastic),13568.71
ALARM CLOCK BAKELIKE IVORY,43.418,Increase Price (Inelastic),13566.5
RED SPOTTY ROUND CAKE TINS,-94.068,Reduce Price (Highly Elastic),13537.85
FELTCRAFT DOLL ROSIE,-8.213,Reduce Price (Highly Elastic),13496.660000000002
SET/6 RED SPOTTY PAPER PLATES,-48.207,Reduce Price (Highly Elastic),13455.18
TEA TIME TEA TOWELS ,-6.59,Reduce Price (Highly Elastic),13366.3
PINK CHERRY LIGHTS,3.343,Increase Price (Inelastic),13198.1
METAL 4 HOOK HANGER FRENCH CHATEAU,-2.51,Reduce Price (Highly Elastic),13158.84
DOORMAT WELCOME TO OUR HOME,-0.482,Optimize / Monitor Price,13120.31
CAKE STAND 3 TIER MAGIC GARDEN,-29.118,Reduce Price (Highly Elastic),13108.8
CHILDS BREAKFAST SET CIRCUS PARADE,-32.443,Reduce Price (Highly Elastic),13100.58
JUMBO BAG PEARS,-18.666,Reduce Price (Highly Elastic),13043.24
VICTORIAN SEWING BOX SMALL ,-10.264,Reduce Price (Highly Elastic),13028.36
VINTAGE CHRISTMAS BUNTING,24.196,Increase Price (Inelastic),12994.77
SET OF 10 LED DOLLY LIGHTS,-56.85,Reduce Price (Highly Elastic),12985.23
FILIGRIS HEART WITH BUTTERFLY,-5.611,Reduce Price (Highly Elastic),12959.14
ZINC FOLKART SLEIGH BELLS,24.828,Increase Price (Inelastic),12885.7
60 CAKE CASES VINTAGE CHRISTMAS,-95.024,Reduce Price (Highly Elastic),12884.57
LUNCH BOX WITH CUTLERY RETROSPOT ,-10.072,Reduce Price (Highly Elastic),12875.59
VINTAGE RED KITCHEN CABINET,-0.35,Optimize / Monitor Price,12845.0
BAG 250g SWIRLY MARBLES,-7.851,Reduce Price (Highly Elastic),12838.08
TRADITIONAL KNITTING NANCY,7.196,Increase Price (Inelastic),12833.17
PINK PAPER PARASOL ,-8.139,Reduce Price (Highly Elastic),12821.48
FELTCRAFT PRINCESS CHARLOTTE DOLL,-5.949,Reduce Price (Highly Elastic),12816.58
CARRIAGE,1.163,Increase Price (Inelastic),12796.0
3 STRIPEY MICE FELTCRAFT,-20.094,Reduce Price (Highly Elastic),12775.0
SAVE THE PLANET MUG,-0.302,Optimize / Monitor Price,12722.380000000001
WOODEN ADVENT CALENDAR CREAM,-1.055,Reduce Price (Highly Elastic),12707.099999999999
SWEETHEART CAKESTAND 3 TIER,-133.369,Reduce Price (Highly Elastic),12583.15
DOORMAT MULTICOLOUR STRIPE,-6.078,Reduce Price (Highly Elastic),12580.97
PHOTO FRAME CORNICE,-26.779,Reduce Price (Highly Elastic),12566.33
DOOR MAT NEW ENGLAND,-2.026,Reduce Price (Highly Elastic),12543.42
CHARLOTTE BAG SUKI DESIGN,-1.01,Reduce Price (Highly Elastic),12531.9
MINT KITCHEN SCALES,1.698,Increase Price (Inelastic),12525.99
SET OF 20 VINTAGE CHRISTMAS NAPKINS,-73.403,Reduce Price (Highly Elastic),12525.56
