product_name,current_inventory,max_capacity
AIRLINE BAG VINTAGE JET SET BROWN,190,455
AIRLINE BAG VINTAGE JET SET RED,274,979
AIRLINE BAG VINTAGE JET SET WHITE,140,510
AIRLINE BAG VINTAGE TOKYO 78,648,1431
AIRLINE BAG VINTAGE WORLD CHAMPION ,250,600
"AIRLINE LOUNGE,METAL SIGN",424,835
ALARM CLOCK BAKELIKE CHOCOLATE,1011,2279
ALARM CLOCK BAKELIKE GREEN,2740,7613
ALARM CLOCK BAKELIKE IVORY,814,3893
ALARM CLOCK BAKELIKE ORANGE,717,3449
ALARM CLOCK BAKELIKE PINK,2807,5321
ALARM CLOCK BAKELIKE RED ,3382,9430
ALPHABET HEARTS STICKER SHEET,169,873
ALPHABET STENCIL CRAFT,1055,5340
ALUMINIUM HEART,11,25
ALUMINIUM STAMPED HEART,156,853
AMBER BERTIE GLASS BEAD BAG CHARM,0,2
AMBER BERTIE MOBILE PHONE CHARM,6,15
AMBER CHUNKY BEAD BRACELET W STRAP,13,33
AMBER CHUNKY GLASS+BEAD NECKLACE,9,22
AMBER CRYSTAL DROP EARRINGS,0,1
AMBER DIAMANTE EXPANDABLE RING,14,41
AMBER DROP EARRINGS W LONG BEADS,7,26
AMBER FINE BEAD NECKLACE W TASSEL,2,8
AMBER GLASS BRACELET HEART CHARMS,3,9
AMBER GLASS TASSLE BAG CHARM,15,31
AMBER GLASS/SHELL/PEARL NECKLACE,1,2
AMBER GLASS/SILVER BRACELET,12,31
AMETHYST CHUNKY BEAD BRACELET W STR,18,47
AMETHYST DIAMANTE EXPANDABLE RING,10,39
AMETHYST HOOP EARRING FLORAL LEAF,17,56
ANGEL DECORATION 3 BUTTONS ,2129,7077
ANGEL DECORATION PAINTED ZINC ,598,1977
ANGEL DECORATION STARS ON DRESS,2747,5505
ANGEL DECORATION WITH LACE PADDED,555,1491
ANGEL ON KNEES METAL POLE 100CM H,2,7
ANIMAL STICKERS,1370,4038
ANIMALS AND NATURE WALL ART,117,289
ANT COPPER LIME BOUDICCA BRACELET,34,83
ANT COPPER PINK BOUDICCA BRACELET,27,82
ANT COPPER RED BOUDICCA BRACELET,13,43
ANT COPPER TURQ BOUDICCA BRACELET,23,98
ANT SILVER FUSCHIA BOUDICCA RING,17,35
ANT SILVER LIME GREEN BOUDICCA RING,15,58
ANT SILVER PURPLE BOUDICCA RING,5,30
ANT SILVER TURQUOISE BOUDICCA RING,11,29
ANT WHITE HIGH RISE BIRD BOX,12,51
ANT WHITE IRON BASKET,16,33
ANT WHITE SWEETHEART TABLE W 3 DRAW,1,3
ANT WHITE WIRE HEART SPIRAL,790,1355
ANTIQUE ALL GLASS CANDLESTICK,462,1570
ANTIQUE CREAM CUTLERY CUPBOARD,8,34
ANTIQUE CREAM CUTLERY SHELF ,51,105
ANTIQUE EDWARDIAN DRESSER,17,47
ANTIQUE GLASS DRESSING TABLE POT,1116,2320
ANTIQUE GLASS HEART DECORATION ,1050,1832
ANTIQUE GLASS PEDESTAL BOWL,545,1288
ANTIQUE GLASS PLACE SETTING,241,938
ANTIQUE GLASS RIDGED HANGING BALL,248,681
ANTIQUE HEART SHELF UNIT,121,224
ANTIQUE IVORY WIRE BOWL SMALL,28,83
ANTIQUE LILY FAIRY LIGHTS,669,3071
ANTIQUE MID BLUE FLOWER EARRINGS,2,7
ANTIQUE OLIVE GREEN FLOWER EARRINGS,7,15
ANTIQUE OPAL WHITE FLOWER EARRINGS,2,5
ANTIQUE RASPBERRY FLOWER EARRINGS,1,4
ANTIQUE SILVER BAUBLE LAMP  ,85,429
ANTIQUE SILVER T-LIGHT GLASS,4988,14676
ANTIQUE SILVER TEA GLASS ENGRAVED,7625,16116
ANTIQUE SILVER TEA GLASS ETCHED,4721,16193
ANTIQUE TALL SWIRLGLASS TRINKET POT,384,913
APOTHECARY MEASURING JAR,29,52
APPLE BATH SPONGE,1352,2892
APRON APPLE DELIGHT,202,422
APRON MODERN VINTAGE COTTON,247,545
AQUA BERTIE GLASS BEAD BAG CHARM,9,29
ARCHED GREY MIRROR,24,98
AREA PATROLLED METAL SIGN,3318,7825
ARMY CAMO BOOKCOVER TAPE,16,41
ARMY CAMO WRAPPING TAPE,1033,2434
"ART LIGHTS,FUNK MONKEY",292,521
ASS COL CIRCLE MOBILE ,268,830
ASS COL LARGE SAND FROG P'WEIGHT,253,657
ASS COL LARGE SAND GECKO P'WEIGHT,356,857
ASS COL SMALL SAND FROG P'WEIGHT,453,1074
ASS COL SMALL SAND GECKO P'WEIGHT,655,1913
ASS COLOUR GLOWING TIARAS,312,644
ASS DES PHONE SPONGE CRAFT STICKER,509,994
ASS FLORAL PRINT MULTI SCREWDRIVER,865,3365
ASS FLORAL PRINT SCISSORS,2134,5529
ASS FLORAL PRINT SPIRIT LEVEL ,34,161
ASS FLORAL PRINT TAPE MEASURE,87,256
ASS FLORAL PRINT TORCH,541,2916
"ASS RETROSPOOF MUGS,SPORTS",48,170
ASS WINDPROOF MARIJUANA LIGHTERS,5,17
ASSORTED BOTTLE TOP  MAGNETS ,923,2666
ASSORTED CAKES FRIDGE MAGNETS,1059,3169
ASSORTED CHEESE FRIDGE MAGNETS,161,819
ASSORTED CIRCULAR MOBILE,250,1256
ASSORTED COLOUR BIRD ORNAMENT,35703,68033
ASSORTED COLOUR JUMBO PEN,76,261
ASSORTED COLOUR LIZARD SUCTION HOOK,350,1754
ASSORTED COLOUR METAL CAT ,87,285
ASSORTED COLOUR MINI CASES,1318,2985
ASSORTED COLOUR SET 6 TEASPOONS,60,186
ASSORTED COLOUR SILK COIN PURSE,1373,3355
ASSORTED COLOUR SILK COSMETIC PURSE,314,1577
ASSORTED COLOUR SILK GLASSES CASE,429,2151
ASSORTED COLOUR SUCTION CUP HOOK,132,362
ASSORTED COLOUR T-LIGHT HOLDER,2735,6209
ASSORTED COLOURED CIRCLE MOBILE ,25,63
ASSORTED COLOURS SILK FAN,17163,40569
ASSORTED CREEPY CRAWLIES,3865,9188
ASSORTED DESIGN FLOWER MUGS,2,8
ASSORTED DESIGN GEISHA GIRL MUGS,1,4
ASSORTED EASTER DECORATIONS  BELLS,385,886
ASSORTED EASTER GIFT TAGS,348,1024
ASSORTED FARMYARD ANIMALS IN BUCKET,1272,4561
ASSORTED FLORAL SECATEURS,702,2967
"ASSORTED FLOWER COLOUR ""LEIS""",5122,24453
ASSORTED FRAGRANCE BATH CONFETTI,27,52
ASSORTED ICE CREAM FRIDGE MAGNETS,1269,3022
ASSORTED INCENSE PACK,4961,12924
ASSORTED LAQUERED INCENSE HOLDERS,1987,6689
ASSORTED MINI MADRAS NOTEBOOK,432,1558
ASSORTED MONKEY SUCTION CUP HOOK,275,1033
ASSORTED SANSKRIT MINI NOTEBOOK,350,1083
ASSORTED SANTA CHRISTMAS DECORATION,17,50
ASSORTED SHAPED STENCIL FOR HENNA,21,42
ASSORTED SHAPES PHOTO CLIP SILVER ,437,1141
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,580,2346
ASSORTED TUTTI FRUTTI BRACELET,1384,3292
ASSORTED TUTTI FRUTTI HEART BOX,431,1004
ASSORTED TUTTI FRUTTI KEYRING,91,244
ASSORTED TUTTI FRUTTI KEYRING BALL,590,1280
ASSORTED TUTTI FRUTTI LARGE PURSE,267,876
ASSORTED TUTTI FRUTTI MIRROR,362,1493
ASSORTED TUTTI FRUTTI NOTEBOOK,307,900
ASSORTED TUTTI FRUTTI PEN,1805,4091
ASSORTED TUTTI FRUTTI PHOTO FRAME,84,468
ASSORTED TUTTI FRUTTI ROUND BOX,227,1112
ASSORTED TUTTI FRUTTI SMALL PURSE,565,2374
ASSORTED WHITE EMBOSSED CHINA MUGS,144,693
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,217,418
ASSTD DESIGN 3D PAPER STICKERS,740,1515
ASSTD DESIGN BUBBLE GUM RING,7690,26165
ASSTD DESIGN POP ART SLIM PEN,156,771
ASSTD DESIGN RACING CAR PEN,1502,4774
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,1009,2419
ASSTD HEARTS DESIGN MUGS,80,361
ASSTD MULTICOLOUR CIRCLES MUG,509,1503
ASSTD RASTA KEY-CHAINS,11,33
Adjustment by Peter on Jun 25 2010 ,1,3
Adjustment by john on 26/01/2010 16,7,15
Adjustment by john on 26/01/2010 17,2,15
BABUSHKA LIGHTS STRING OF 10,521,1723
BABY BOOM RIBBONS ,815,1840
BABY MOUSE RED GINGHAM DRESS,151,377
BAG 125g SWIRLY MARBLES,6626,12669
BAG 250g SWIRLY MARBLES,6734,13936
BAG 500g SWIRLY MARBLES,602,2504
BAG FOR CHILDREN VINTAGE BLUE ,21,109
BAG FOR CHILDREN VINTAGE PINK ,37,77
BAG OF SILVER STONES,30,120
BAKING MOULD CHOCOLATE CUP CAKES,9,24
BAKING MOULD CHOCOLATE CUPCAKES,460,1077
BAKING MOULD CUPCAKE CHOCOLATE,4,11
BAKING MOULD EASTER EGG MILK CHOC,281,834
BAKING MOULD EASTER EGG WHITE CHOC,220,581
BAKING MOULD HEART MILK CHOCOLATE,382,1029
BAKING MOULD HEART WHITE CHOCOLATE,320,714
BAKING MOULD ROSE MILK CHOCOLATE,363,824
BAKING MOULD ROSE WHITE CHOCOLATE,84,280
BAKING MOULD TOFFEE CUP  CHOCOLATE,2,6
BAKING MOULD TOFFEE CUP CHOCOLATE,445,1036
BAKING SET 9 PIECE RETROSPOT ,2342,9686
BAKING SET SPACEBOY DESIGN,950,3796
BALLERINA HEART DECORATION.,77,318
BALLOON ART MAKE YOUR OWN FLOWERS,280,1161
BALLOON PUMP WITH 10 BALLOONS,584,2181
BALLOON WATER BOMB PACK OF 35,3421,9044
BALLOONS  WRITING SET ,373,1927
BANK ACCOUNT  GREETING  CARD ,303,1218
BANQUET BIRTHDAY  CARD  ,1775,4117
BAROQUE BUTTERFLY EARRINGS BLACK,0,1
BAROQUE BUTTERFLY EARRINGS CRYSTAL,0,1
BAROQUE BUTTERFLY EARRINGS GREEN,0,2
BAROQUE BUTTERFLY EARRINGS MONTANA,0,3
BAROQUE BUTTERFLY EARRINGS PINK,0,2
BAROQUE BUTTERFLY EARRINGS RED,0,1
BASKET OF FLOWERS SEWING KIT,823,1922
BASKET OF TOADSTOOLS,903,2435
BASKET/8 SCENTED LOVE TOKEN CANDLES,53,99
BATH BUILDING BLOCK WORD,455,1757
BATH DUCK WATERING CAN,210,948
BATHROOM HOOK,59,128
BATHROOM METAL SIGN,5623,13436
BATHROOM METAL SIGN ,906,1688
BATHROOM SCALES FOOTPRINTS IN SAND,31,114
BATHROOM SCALES RUBBER DUCKS,26,69
"BATHROOM SCALES, FAG BREAK",0,2
"BATHROOM SCALES, TROPICAL BEACH",10,30
BATHROOM SET LOVE HEART DESIGN,279,633
BEACH HUT DESIGN BLACKBOARD,177,337
BEACH HUT KEY CABINET,118,322
BEACH HUT MIRROR,146,343
BEACH HUT PHOTO FRAME,244,669
BEACH HUT SHELF W 3 DRAWERS,67,259
BEADED CHANDELIER T-LIGHT HOLDER,281,513
BEADED CRYSTAL HEART BLUE  LARGE,237,744
BEADED CRYSTAL HEART BLUE ON STICK,138,309
BEADED CRYSTAL HEART BLUE SMALL,118,464
BEADED CRYSTAL HEART GREEN LARGE,410,751
BEADED CRYSTAL HEART GREEN ON STICK,104,350
BEADED CRYSTAL HEART GREEN SMALL,46,205
BEADED CRYSTAL HEART PINK LARGE,349,639
BEADED CRYSTAL HEART PINK ON STICK,110,523
BEADED CRYSTAL HEART PINK SMALL,194,683
BEADED CRYSTAL HEART PINK\ON STICK,7,17
BEADED LOVE HEART JEWELLERY SET,1022,1947
BEADED PEARL HEART WHITE LARGE,263,693
BEADED PEARL HEART WHITE ON STICK,554,1370
BEAUTY SPEED EXPRESSO CUPS,154,551
BEECH WOOD P/FRAME,1,4
BEECH WOOD PHOTO FRAME ,80,248
BEIGE PHOTO ALBUM,37,88
BELL HEART ANTIQUE GOLD,5,12
BELL HEART DECORATION,110,227
BELLE JARDINIERE CUSHION COVER,304,811
BENDY COLOUR PENCILS,0,3
BERRIES CHUNKY KNITTED THROW ,1,5
BEST DAD CANDLE LETTERS,47,182
BEWARE OF THE CAT DOORMAT,0,2
BEWARE OF THE CAT METAL SIGN ,3043,10644
BICYCLE PUNCTURE REPAIR KIT ,807,1501
BICYCLE SAFTEY WALL ART,139,543
BIG DOUGHNUT FRIDGE MAGNETS,1375,5741
BIG PINK POODLE,6,32
BIG POLKADOT MUG,33,83
BILI NUT AND WOOD NECKLACE,18,44
BINGO SET,752,2861
BIRD BOX CHRISTMAS TREE DECORATION,51,211
BIRD DECORATION GREEN  SPOT,240,490
BIRD DECORATION GREEN POLKADOT,107,416
BIRD DECORATION RED RETROSPOT,517,974
BIRD DECORATION RED SPOT,469,1103
BIRD HOUSE HOT WATER BOTTLE,434,2164
BIRD IN TREE MUG ,1046,3976
BIRD ON BRANCH CANVAS SCREEN,5,9
BIRDCAGE DECORATION MAGIC GARDEN,6,22
BIRDCAGE DECORATION TEALIGHT HOLDER,296,838
BIRDHOUSE DECORATION MAGIC GARDEN,719,1360
BIRDHOUSE GARDEN MARKER ,1232,2206
BIRDS MOBILE VINTAGE DESIGN,288,680
BIRTHDAY BANNER TAPE,20,54
BIRTHDAY BANQUET GIFT WRAP,888,2674
"BIRTHDAY CARD, RETRO SPOT",583,2753
BIRTHDAY PARTY CORDON BARRIER TAPE,323,758
BISCUIT TIN 50'S CHRISTMAS,757,2205
BISCUIT TIN VINTAGE CHRISTMAS,535,1754
BISCUIT TIN VINTAGE GREEN,274,610
BISCUIT TIN VINTAGE LEAF,5,21
BISCUIT TIN VINTAGE RED,273,641
"BISCUIT TIN, MINT,IVORY, VINTAGE",0,0
"BISCUIT TIN, RED,IVORY, VINTAGE",12,42
BISCUITS SMALL BOWL LIGHT BLUE,274,1302
BLACK 3 BEAD DROP EARRINGS,1,9
BLACK 3 TIER GLASS PLATE STAND,2,11
BLACK AND WHITE CAT BOWL,622,1364
BLACK AND WHITE DOG BOWL,587,1492
BLACK AND WHITE PAISLEY FLOWER MUG,9632,27475
BLACK ASSORTED DROPLET DECORATION,28,70
BLACK BAROQUE CARRIAGE CLOCK,11,45
BLACK BAROQUE CUCKOO CLOCK,32,121
BLACK BAROQUE WALL CLOCK ,31,61
BLACK BIRD GARDEN DESIGN MUG,1642,6883
BLACK BOX MIRROR LANTERN,26,46
BLACK CANDELABRA T-LIGHT HOLDER,277,1518
BLACK CHAMPAGNE GLASS,895,2122
BLACK CHERRY LIGHTS,49,221
BLACK CHRISTMAS FLOCK DROPLET ,83,188
BLACK CHRISTMAS TREE 120CM,89,242
BLACK CHRISTMAS TREE 60CM,471,924
BLACK CHUNKY BEAD BRACELET W STRAP,11,46
BLACK CRYSTAL DROP EARRINGS,3,9
BLACK DIAMANTE EXPANDABLE RING,26,63
BLACK DIAMOND CLUSTER EARRINGS,0,1
BLACK DIAMOND CLUSTER NECKLACE,1,4
BLACK DINER WALL CLOCK,145,410
BLACK DROP CRYSTAL NECKLACE,4,14
BLACK DROP EARRINGS W LONG BEADS,0,1
BLACK EAR MUFF HEADPHONES,71,157
BLACK ENAMEL FLOWER RING,50,97
BLACK ENCHANTED FOREST PLACEMAT,278,1520
BLACK FACE LAMB WITH PANTS,28,106
BLACK FEATHER CHRISTMAS DECORATION,150,337
BLACK FINE BEAD NECKLACE W TASSEL,5,9
BLACK FLOCK GOLD CANDLE,16,53
BLACK FLOWER CANDLE PLATE,113,238
BLACK GEMSTONE BRACELET,15,52
BLACK GEMSTONE NECKLACE 45CM,4,16
BLACK GLASS BRACELET W HEART CHARMS,2,5
BLACK GLASS TV DOUBLE P/FRAME 15X10,5,19
BLACK GRAND BAROQUE PHOTO FRAME,268,641
BLACK HEART CARD HOLDER,2765,13136
BLACK KITCHEN SCALES,409,799
BLACK LOVE BIRD CANDLE,165,345
BLACK LOVE BIRD T-LIGHT HOLDER,153,315
BLACK MEDIUM GLASS CAKE STAND,14,32
BLACK METAL BAROQUE PHOTO FRAME,146,583
BLACK MINI TAPE MEASURE ,368,752
BLACK NEW BAROQUE FLOCK BOX,2,7
BLACK ORANGE SQUEEZER,54,262
BLACK PHOTO ALBUM ,38,71
BLACK PILLAR CANDLE SILVER FLOCK,273,554
BLACK PIRATE TREASURE CHEST,440,967
BLACK RECORD COVER FRAME,8199,23283
BLACK RETRO BAR STOOL,8,25
BLACK RETRODISC LAMPSHADE,317,978
"BLACK RND BULLET""KEEP CLEAN"" BIN",0,1
BLACK SIL'T SQU CANDLE PLATE ,18,34
BLACK SILOUETTE CANDLE PLATE,109,610
BLACK SILOUETTE CANDLE PLATE ,24,142
BLACK SILVER FLOWER T-LIGHT HOLDER,3602,9963
BLACK SMALL GLASS CAKE STAND,249,518
BLACK SQUARE TABLE CLOCK,102,173
BLACK STITCHED WALL CLOCK,178,662
BLACK SWEETHEART BRACELET,54,162
BLACK TEA TOWEL CLASSIC DESIGN,359,1087
"BLACK TEA,COFFEE,SUGAR JARS",224,382
BLACK VINT ART DEC CRYSTAL BRACELET,4,9
BLACK VINT ART DEC CRYSTAL NECKLACE,6,17
BLACK VINTAGE  CRYSTAL EARRINGS,5,17
BLACK VINTAGE EARRINGS,6,19
BLACK WINE GLASS,1032,3171
BLACK+WHITE NECKLACE W TASSEL,7,43
BLACK/BLUE DOTS RUFFLED UMBRELLA,1353,3325
BLACK/BLUE POLKADOT UMBRELLA,736,1513
BLACK/WHITE GLASS/SILVER BRACELET,22,37
BLACKCHRISTMAS TREE 30CM,9,15
BLCK NEW BAROQUE CANDLESTICK CANDLE,65,152
BLING KEY RING STAND,8,19
BLOKEY SILVER TOOL SET,14,36
BLOND DOLL DOORSTOP,151,333
